"stocklong","stocklong_orig","stockid","ocean","region","area","species","comm_name","nyr","n_units","reference"
"Atlantic herring Northwestern Atlantic Coast","Atlantic herring Northwestern Atlantic Coast","HERRNWATLC","NW Atlantic","US East Coast","Northwestern Atlantic Coast","Clupea harengus","Atlantic herring",39,"SSB","RAM?"
"Atlantic mackerel Gulf of Maine / Cape Hatteras","Atlantic mackerel Gulf of Maine / Cape Hatteras",NA,"NW Atlantic","US East Coast","Gulf of Maine / Cape Hatteras","Scomber scombrus","Atlantic mackerel",47,"TB","Other?"
"Atlantic menhaden Atlantic","Atlantic menhaden Atlantic","MENATLAN","NW Atlantic","US East Coast","Atlantic","Brevoortia tyrannus","Atlantic menhaden",51,"TB","RAM?"
"California market squid Pacific Coast","California Market Squid",NA,"NE Pacific","US West Coast","Pacific Coast","Doryteuthis opalescens","California market squid",27,"TL","Other?"
"Gulf menhaden Gulf of Mexico","Gulf menhaden Gulf of Mexico","MENATGM","NW Atlantic","US Southeast and Gulf","Gulf of Mexico","Brevoortia patronus","Gulf menhaden",35,"SSB","RAM?"
"Longfin inshore squid Atlantic Coast","Longfin inshore squid Atlantic Coast","LISQUIDATLC","NW Atlantic","US Southeast and Gulf","Atlantic Coast","Doryteuthis pealeii","Longfin inshore squid",34,"TB","RAM?"
"Northern anchovy Pacific Coast","Northern Anchovy",NA,"NE Pacific","US West Coast","Pacific Coast","Engraulis mordax","Northern anchovy",61,"SSB","Other?"
"Pacific chub mackerel Pacific Coast","Pacific chub mackerel Pacific Coast","CMACKPCOAST","NE Pacific","US West Coast","Pacific Coast","Scomber japonicus","Pacific chub mackerel",80,"SSB","RAM?"
"Pacific hake Pacific Coast","Pacific hake Pacific Coast","PHAKEPCOAST","NE Pacific","US West Coast","Pacific Coast","Merluccius productus","Pacific hake",47,"SSB","RAM?"
"Pacific sardine Pacific Coast","Pacific sardine Pacific Coast","SARDPCOAST","NE Pacific","US West Coast","Pacific Coast","Sardinops sagax caerulea","Pacific sardine",27,"TB","RAM?"
"Northern shortfin squid Atlantic Coast","Shortfin squid Atlantic Coast",NA,"NW Atlantic","US East Coast","Atlantic Coast","Illex illecebrosus","Northern shortfin squid",38,"SSB","Other?"
